Nume_actiune, Timestamp
Table SECTIONS dropped,25-05-2021 18:54:01
 ** AUTHORS **,25-05-2021 18:54:01
Row inserted in AUTHORS ,25-05-2021 18:54:01
Author displayed,25-05-2021 18:54:01
Row updated in AUTHORS ,25-05-2021 18:54:01
Author displayed,25-05-2021 18:54:01
Inserted authors from CSV file,25-05-2021 18:54:01
Row deleted in AUTHORS ,25-05-2021 18:54:01
All authors displayed,25-05-2021 18:54:01
Table SECTIONS created,25-05-2021 18:54:01
Row inserted in SECTIONS ,25-05-2021 18:54:01
Section displayed,25-05-2021 18:54:01
Row inserted in SECTIONS ,25-05-2021 18:54:01
Section displayed,25-05-2021 18:54:01
Row updated in SECTIONS ,25-05-2021 18:54:01
Section displayed,25-05-2021 18:54:01
Row inserted in SECTIONS ,25-05-2021 18:54:01
Row inserted in SECTIONS ,25-05-2021 18:54:01
Row inserted in SECTIONS ,25-05-2021 18:54:01
Row deleted in SECTIONS ,25-05-2021 18:54:01
All sections displayed,25-05-2021 18:54:01
